,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,description.1,data_processing,data_processing.1,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,relation,material:ch1,methylation class:ch1,tissue:ch1,gender,sex
GSM2402882,"GBM, G34, sample 29 [reference set]",GSM2402882,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402882/suppl/GSM2402882_6164621131_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402882/suppl/GSM2402882_6164621131_R02C01_Red.idat.gz,0,,Frozen,"GBM, G34",NA,F,2
GSM2402883,"GBM, G34, sample 30 [reference set]",GSM2402883,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402883/suppl/GSM2402883_6164621131_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402883/suppl/GSM2402883_6164621131_R05C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,F,2
GSM2403087,"GBM, MES, sample 234 [reference set]",GSM2403087,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403087/suppl/GSM2403087_6229017111_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403087/suppl/GSM2403087_6229017111_R06C01_Red.idat.gz,0,,Frozen,"GBM, MES",NA,F,2
GSM2403088,"GBM, RTK II, sample 235 [reference set]",GSM2403088,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403088/suppl/GSM2403088_6229017103_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403088/suppl/GSM2403088_6229017103_R06C01_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
GSM2403089,"GBM, RTK II, sample 236 [reference set]",GSM2403089,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403089/suppl/GSM2403089_6229017111_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403089/suppl/GSM2403089_6229017111_R01C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
GSM2403090,"GBM, RTK I, sample 237 [reference set]",GSM2403090,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403090/suppl/GSM2403090_6229017111_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403090/suppl/GSM2403090_6229017111_R02C02_Red.idat.gz,0,,Frozen,"GBM, RTK I",NA,F,2
GSM2403091,"GBM, MES, sample 238 [reference set]",GSM2403091,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403091/suppl/GSM2403091_6229017111_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403091/suppl/GSM2403091_6229017111_R04C02_Red.idat.gz,0,,Frozen,"GBM, MES",NA,F,2
GSM2403092,"GBM, MES, sample 239 [reference set]",GSM2403092,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403092/suppl/GSM2403092_6229017120_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403092/suppl/GSM2403092_6229017120_R01C01_Red.idat.gz,0,,Frozen,"GBM, MES",NA,F,2
GSM2403093,"GBM, MES, sample 240 [reference set]",GSM2403093,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403093/suppl/GSM2403093_6229017120_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403093/suppl/GSM2403093_6229017120_R02C01_Red.idat.gz,0,,Frozen,"GBM, MES",NA,M,1
GSM2403094,"GBM, MES, sample 241 [reference set]",GSM2403094,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403094/suppl/GSM2403094_6229017120_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403094/suppl/GSM2403094_6229017120_R04C01_Red.idat.gz,0,,Frozen,"GBM, MES",NA,M,1
GSM2403095,"GBM, RTK II, sample 242 [reference set]",GSM2403095,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403095/suppl/GSM2403095_6229017120_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403095/suppl/GSM2403095_6229017120_R05C01_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
GSM2403096,"GBM, MES, sample 243 [reference set]",GSM2403096,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403096/suppl/GSM2403096_6229017120_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403096/suppl/GSM2403096_6229017120_R02C02_Red.idat.gz,0,,Frozen,"GBM, MES",NA,M,1
GSM2403097,"GBM, RTK II, sample 244 [reference set]",GSM2403097,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403097/suppl/GSM2403097_6229017103_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403097/suppl/GSM2403097_6229017103_R03C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403098,"GBM, RTK II, sample 245 [reference set]",GSM2403098,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403098/suppl/GSM2403098_6229017103_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403098/suppl/GSM2403098_6229017103_R04C01_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
